shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
"7-TB1-mjp-1.1.H","-37.7578224383321","145.312560383681","1","0"
"7-TB1-mjp-1.1.H","-37.7578118037209","145.312447111401","2","10.0498756211209"
"7-TB1-mjp-1.1.H","-37.7578367187769","145.312298977137","3","23.3915396852472"
"7-TB1-mjp-1.1.H","-37.7578806276868","145.312218519516","4","31.9938649522899"
"7-TB1-mjp-1.1.H","-37.7579789177648","145.312159528719","5","44.0769109258844"
"7-TB1-mjp-1.1.H","-37.7580868674123","145.312145723952","6","56.1185055046767"
"7-TB1-mjp-1.1.H","-37.7582229830218","145.312210739181","7","72.2739999260802"
"7-TB1-mjp-1.1.H","-37.7585166460286","145.312578664771","8","118.241379664325"
"7-TB1-mjp-1.1.H","-37.7588394482397","145.313093501435","9","176.042763730799"
"7-TB1-mjp-1.1.H","-37.7587347476676","145.313334261869","10","200.229536975694"
"7-TB1-mjp-1.1.H","-37.7585200705936","145.314076985025","11","269.871478361615"
"7-TB1-mjp-1.1.H","-37.7583795735002","145.314965589966","12","349.702550006683"
"7-TB1-mjp-1.1.H","-37.7583677210341","145.315397215125","13","387.755145187564"
"7-TB1-mjp-1.1.H","-37.7583772918397","145.316066735476","14","446.763619155292"
"7-TB1-mjp-1.1.H","-37.7584114550268","145.316565426334","15","490.865773297692"
"7-TB1-mjp-1.1.H","-37.7584612033989","145.316893492056","16","520.293651236816"
"7-TB1-mjp-1.1.H","-37.7588722624777","145.318541503923","17","672.494176860087"
"7-TB1-mjp-1.1.H","-37.75894310041","145.319084775572","18","721.001908202627"
"7-TB1-mjp-1.1.H","-37.7589721256023","145.319856025962","19","789.031313609406"
"7-TB1-mjp-1.1.H","-37.7589498389804","145.320821414174","20","874.125379207426"
"7-TB1-mjp-1.1.H","-37.7577412868531","145.320757928406","21","1008.36397276382"
"7-TB1-mjp-1.1.H","-37.7577372905916","145.321109911914","22","1039.38009760237"
"7-TB1-mjp-1.1.H","-37.7569911278249","145.321240291994","23","1122.98033683647"
"7-TB1-mjp-1.1.H","-37.7568120716724","145.321323798017","24","1144.16995693689"
"7-TB1-mjp-1.1.H","-37.7565630418181","145.321556450858","25","1178.57925800506"
"7-TB1-mjp-1.1.H","-37.7564489907967","145.321774700994","26","1201.6009868715"
"7-TB1-mjp-1.1.H","-37.7566327343275","145.322020276079","27","1231.33312436614"
"7-TB1-mjp-1.1.H","-37.7567355543561","145.322279031629","28","1256.8282219341"
"7-TB1-mjp-1.1.H","-37.7567854482924","145.322618442018","29","1287.2420345856"
"7-TB1-mjp-1.1.H","-37.7567701756508","145.322811758138","30","1304.35927735422"
"7-TB1-mjp-1.1.H","-37.756710663215","145.323062829283","31","1327.44607011545"
"7-TB1-mjp-1.1.H","-37.7560019123828","145.325190142042","32","1530.7192852718"
"7-TB1-mjp-1.1.H","-37.7561204864071","145.325289628617","33","1546.53067357264"
"7-TB1-mjp-1.1.H","-37.7561204864071","145.325289628617","34","1546.53067357264"
"7-TB1-mjp-1.1.H","-37.7560019123828","145.325190142042","35","1562.34206187348"
"7-TB1-mjp-1.1.H","-37.7567621354063","145.322880047177","36","1782.67816876475"
"7-TB1-mjp-1.1.H","-37.7567854482924","145.322618442018","37","1805.87299577424"
"7-TB1-mjp-1.1.H","-37.7567545426206","145.32234671016","38","1830.05976901913"
"7-TB1-mjp-1.1.H","-37.7567072334778","145.322188861485","39","1844.92583776645"
"7-TB1-mjp-1.1.H","-37.7565865560728","145.321941860845","40","1870.47970244481"
"7-TB1-mjp-1.1.H","-37.7564032972875","145.321730328717","41","1898.06593089308"
"7-TB1-mjp-1.1.H","-37.7561304291223","145.321554876147","42","1932.06593089308"
"7-TB1-mjp-1.1.H","-37.7526344793766","145.319715619232","43","2352.52520359378"
"7-TB1-mjp-1.1.H","-37.7526344793766","145.319715619232","44","2352.52520359378"
"7-TB1-mjp-1.1.H","-37.7519624438946","145.319356253981","45","2433.5498911896"
"7-TB1-mjp-1.1.H","-37.7518435414276","145.319234088737","46","2450.57927755552"
"7-TB1-mjp-1.1.H","-37.7517048394479","145.318987516767","47","2477.20633146691"
"7-TB1-mjp-1.1.H","-37.7516570403837","145.318795640629","48","2494.92637661358"
"7-TB1-mjp-1.1.H","-37.7514894035941","145.317153621927","49","2640.80646435691"
"7-TB1-mjp-1.1.H","-37.7508270841343","145.317475084762","50","2719.57828673014"
"7-TB1-mjp-1.1.H","-37.7506668593493","145.317614917364","51","2741.21159438292"
"7-TB1-mjp-1.1.H","-37.7490857424925","145.317968525471","52","2919.42494966249"
"7-TB1-mjp-1.1.H","-37.7451947131765","145.318760281081","53","3356.841227366"
"7-TB1-mjp-1.1.H","-37.744825975218","145.318814022168","54","3398.03588721409"
"7-TB1-mjp-1.1.H","-37.7437363230843","145.318872723899","55","3519.0730715832"
"7-TB1-mjp-1.1.H","-37.7440947062345","145.322519091944","56","3842.86312702036"
"7-TB1-mjp-1.1.H","-37.7450929750056","145.322371710723","57","3954.40684042456"
"7-TB1-mjp-1.1.H","-37.7453344116418","145.324772353242","58","4167.65083213359"
"7-TB1-mjp-1.1.H","-37.7453775454878","145.325270759078","59","4211.83227620234"
"7-TB1-mjp-1.1.H","-37.7453722445566","145.325531917235","60","4234.85400506878"
"7-TB1-mjp-1.1.H","-37.7452866641372","145.325851631743","61","4264.58614256342"
"7-TB1-mjp-1.1.H","-37.7451508778445","145.325809293341","62","4280.11031725968"
"7-TB1-mjp-1.1.H","-37.7447549463378","145.325852262717","63","4324.21247140208"
"7-TB1-mjp-1.1.H","-37.7447549463378","145.325852262717","64","4324.21247140208"
"7-TB1-mjp-1.1.H","-37.744431251448","145.325904953394","65","4360.43401195463"
"7-TB1-mjp-1.1.H","-37.7454419095391","145.336176202873","66","5272.50034726144"
"7-TB1-mjp-1.1.H","-37.745452200603","145.336266768711","67","5280.56260500974"
"7-TB1-mjp-1.1.H","-37.7456185359484","145.336558132767","68","5312.18538161143"
"7-TB1-mjp-1.1.H","-37.7457284115018","145.336680518244","69","5328.46420220753"
"7-TB1-mjp-1.1.H","-37.7458191469395","145.336723885378","70","5339.23453182179"
"7-TB1-mjp-1.1.H","-37.7461177410458","145.336807998167","71","5373.19038551449"
"7-TB1-mjp-1.1.H","-37.747247609426","145.337043751116","72","5500.28877260103"
"7-TB1-mjp-1.1.H","-37.7521369111062","145.336094361025","73","6049.29879072457"
"7-TB1-mjp-1.1.H","-37.7521369111062","145.336094361025","74","6049.29879072457"
"7-TB1-mjp-1.1.H","-37.7600550071561","145.334554753545","75","6938.43376360551"
"7-TB1-mjp-1.1.H","-37.7610701873441","145.334327651394","76","7052.85841129997"
"7-TB1-mjp-1.1.H","-37.7611573066824","145.336028487648","77","7203.02165580407"
"7-TB1-mjp-1.1.H","-37.7611606349867","145.336902512315","78","7280.02814903679"
"7-TB1-mjp-1.1.H","-37.7611388922307","145.337277613145","79","7313.16423208835"
"7-TB1-mjp-1.1.H","-37.7610621307786","145.337585833852","80","7341.62473102986"
"7-TB1-mjp-1.1.H","-37.7608531080042","145.338101348317","81","7392.62473102986"
"7-TB1-mjp-1.1.H","-37.760668070692","145.338400637827","82","7426.046280964"
"7-TB1-mjp-1.1.H","-37.7604645335961","145.338666284194","83","7458.57319289858"
"7-TB1-mjp-1.1.H","-37.7602246379955","145.33891003875","84","7492.77845565155"
"7-TB1-mjp-1.1.H","-37.7599926315156","145.339074152929","85","7522.30810177202"
"7-TB1-mjp-1.1.H","-37.7585589529245","145.339662442564","86","7689.64309512368"
"7-TB1-mjp-1.1.H","-37.7582730482206","145.339839106873","87","7724.98428921783"
"7-TB1-mjp-1.1.H","-37.7580505293133","145.340037055962","88","7755.21672213349"
"7-TB1-mjp-1.1.H","-37.757696224545","145.340476328706","89","7810.38917903002"
"7-TB1-mjp-1.1.H","-37.7565116380359","145.342114672596","90","8005.63261681987"
"7-TB1-mjp-1.1.H","-37.7563352799573","145.342391038219","91","8036.8736155235"
"7-TB1-mjp-1.1.H","-37.7562038090478","145.342655049716","92","8064.33267595899"
"7-TB1-mjp-1.1.H","-37.756094026821","145.343179653362","93","8112.13434956986"
"7-TB1-mjp-1.1.H","-37.7560534467535","145.343498391263","94","8140.57727487652"
"7-TB1-mjp-1.1.H","-37.7567733094973","145.346626640446","95","8427.5511412825"
