route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"7-TB1-mjp-1","T0","5549.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5551.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5552.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5554.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5550.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5553.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5555.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5556.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5557.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5558.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5559.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5560.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5561.T0.7-TB1-mjp-1.1.H","7-TB1-mjp-1.1.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5780.T0.7-TB1-mjp-1.2.H","7-TB1-mjp-1.2.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5783.T0.7-TB1-mjp-1.2.H","7-TB1-mjp-1.2.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5784.T0.7-TB1-mjp-1.2.H","7-TB1-mjp-1.2.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5781.T0.7-TB1-mjp-1.2.H","7-TB1-mjp-1.2.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5782.T0.7-TB1-mjp-1.2.H","7-TB1-mjp-1.2.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5785.T0.7-TB1-mjp-1.2.H","7-TB1-mjp-1.2.H","Lilydale Station","0"
"7-TB1-mjp-1","T0","5786.T0.7-TB1-mjp-1.3.R","7-TB1-mjp-1.3.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5787.T0.7-TB1-mjp-1.3.R","7-TB1-mjp-1.3.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5788.T0.7-TB1-mjp-1.3.R","7-TB1-mjp-1.3.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5789.T0.7-TB1-mjp-1.3.R","7-TB1-mjp-1.3.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5572.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5573.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5574.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5575.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5576.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5580.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5585.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5577.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5578.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5579.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5581.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5582.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5583.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB1-mjp-1","T0","5584.T0.7-TB1-mjp-1.4.R","7-TB1-mjp-1.4.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5596.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5597.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5598.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5599.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5600.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5601.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5602.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5603.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5604.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5605.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5606.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5607.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5608.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5609.T0.7-TB2-mjp-1.1.H","7-TB2-mjp-1.1.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5790.T0.7-TB2-mjp-1.2.H","7-TB2-mjp-1.2.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5791.T0.7-TB2-mjp-1.2.H","7-TB2-mjp-1.2.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5792.T0.7-TB2-mjp-1.2.H","7-TB2-mjp-1.2.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5794.T0.7-TB2-mjp-1.2.H","7-TB2-mjp-1.2.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5793.T0.7-TB2-mjp-1.2.H","7-TB2-mjp-1.2.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5795.T0.7-TB2-mjp-1.3.H","7-TB2-mjp-1.3.H","Mooroolbark Station","0"
"7-TB2-mjp-1","T0","5796.T0.7-TB2-mjp-1.4.R","7-TB2-mjp-1.4.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5797.T0.7-TB2-mjp-1.4.R","7-TB2-mjp-1.4.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5798.T0.7-TB2-mjp-1.4.R","7-TB2-mjp-1.4.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5799.T0.7-TB2-mjp-1.4.R","7-TB2-mjp-1.4.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5800.T0.7-TB2-mjp-1.4.R","7-TB2-mjp-1.4.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5705.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5706.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5707.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5708.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5709.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5710.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5711.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5712.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5714.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5715.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5713.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5716.T0.7-TB2-mjp-1.5.R","7-TB2-mjp-1.5.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5717.T0.7-TB2-mjp-1.6.R","7-TB2-mjp-1.6.R","Chirnside Park SC","1"
"7-TB2-mjp-1","T0","5718.T0.7-TB2-mjp-1.6.R","7-TB2-mjp-1.6.R","Chirnside Park SC","1"
"7-TB3-mjp-1","T0","5734.T0.7-TB3-mjp-1.1.H","7-TB3-mjp-1.1.H","Mooroolbark Station","0"
"7-TB3-mjp-1","T0","5735.T0.7-TB3-mjp-1.1.H","7-TB3-mjp-1.1.H","Mooroolbark Station","0"
"7-TB3-mjp-1","T0","5736.T0.7-TB3-mjp-1.1.H","7-TB3-mjp-1.1.H","Mooroolbark Station","0"
"7-TB3-mjp-1","T0","5744.T0.7-TB3-mjp-1.1.H","7-TB3-mjp-1.1.H","Mooroolbark Station","0"
"7-TB3-mjp-1","T0","5745.T0.7-TB3-mjp-1.1.H","7-TB3-mjp-1.1.H","Mooroolbark Station","0"
"7-TB3-mjp-1","T0","6322.T0.7-TB3-mjp-1.2.H","7-TB3-mjp-1.2.H","Mooroolbark Station","0"
