trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
"5073.T0.11-SKY-mjp-1.1.H","00:07:00","00:07:00","48578","1","","0","0",""
"5073.T0.11-SKY-mjp-1.1.H","00:10:00","00:10:00","45513","2","","0","0","0"
"5073.T0.11-SKY-mjp-1.1.H","00:20:00","00:20:00","45511","3","","0","0","330.382187117239"
"5073.T0.11-SKY-mjp-1.1.H","00:40:00","00:40:00","23173","4","","0","0","22493.8119844077"
"1135.UW.11-SKY-mjp-1.1.H","00:07:00","00:07:00","48578","1","","0","0",""
"1135.UW.11-SKY-mjp-1.1.H","00:10:00","00:10:00","45513","2","","0","0","0"
"1135.UW.11-SKY-mjp-1.1.H","00:15:00","00:15:00","45511","3","","0","0","330.382187117239"
"1135.UW.11-SKY-mjp-1.1.H","00:35:00","00:35:00","23173","4","","0","0","22493.8119844077"
"1136.UW.11-SKY-mjp-1.1.H","00:22:00","00:22:00","48578","1","","0","0",""
"1136.UW.11-SKY-mjp-1.1.H","00:25:00","00:25:00","45513","2","","0","0","0"
"1136.UW.11-SKY-mjp-1.1.H","00:30:00","00:30:00","45511","3","","0","0","330.382187117239"
"1136.UW.11-SKY-mjp-1.1.H","00:50:00","00:50:00","23173","4","","0","0","22493.8119844077"
"1137.UW.11-SKY-mjp-1.1.H","00:37:00","00:37:00","48578","1","","0","0",""
"1137.UW.11-SKY-mjp-1.1.H","00:40:00","00:40:00","45513","2","","0","0","0"
"1137.UW.11-SKY-mjp-1.1.H","00:45:00","00:45:00","45511","3","","0","0","330.382187117239"
"1137.UW.11-SKY-mjp-1.1.H","01:05:00","01:05:00","23173","4","","0","0","22493.8119844077"
"1138.UW.11-SKY-mjp-1.1.H","00:52:00","00:52:00","48578","1","","0","0",""
"1138.UW.11-SKY-mjp-1.1.H","00:55:00","00:55:00","45513","2","","0","0","0"
"1138.UW.11-SKY-mjp-1.1.H","01:00:00","01:00:00","45511","3","","0","0","330.382187117239"
"1138.UW.11-SKY-mjp-1.1.H","01:20:00","01:20:00","23173","4","","0","0","22493.8119844077"
"1139.UW.11-SKY-mjp-1.1.H","01:22:00","01:22:00","48578","1","","0","0",""
"1139.UW.11-SKY-mjp-1.1.H","01:25:00","01:25:00","45513","2","","0","0","0"
"1139.UW.11-SKY-mjp-1.1.H","01:30:00","01:30:00","45511","3","","0","0","330.382187117239"
"1139.UW.11-SKY-mjp-1.1.H","01:50:00","01:50:00","23173","4","","0","0","22493.8119844077"
"1140.UW.11-SKY-mjp-1.1.H","01:52:00","01:52:00","48578","1","","0","0",""
"1140.UW.11-SKY-mjp-1.1.H","01:55:00","01:55:00","45513","2","","0","0","0"
"1140.UW.11-SKY-mjp-1.1.H","02:00:00","02:00:00","45511","3","","0","0","330.382187117239"
"1140.UW.11-SKY-mjp-1.1.H","02:20:00","02:20:00","23173","4","","0","0","22493.8119844077"
"1141.UW.11-SKY-mjp-1.1.H","02:22:00","02:22:00","48578","1","","0","0",""
"1141.UW.11-SKY-mjp-1.1.H","02:25:00","02:25:00","45513","2","","0","0","0"
"1141.UW.11-SKY-mjp-1.1.H","02:30:00","02:30:00","45511","3","","0","0","330.382187117239"
"1141.UW.11-SKY-mjp-1.1.H","02:50:00","02:50:00","23173","4","","0","0","22493.8119844077"
"1142.UW.11-SKY-mjp-1.1.H","02:52:00","02:52:00","48578","1","","0","0",""
"1142.UW.11-SKY-mjp-1.1.H","02:55:00","02:55:00","45513","2","","0","0","0"
"1142.UW.11-SKY-mjp-1.1.H","03:00:00","03:00:00","45511","3","","0","0","330.382187117239"
"1142.UW.11-SKY-mjp-1.1.H","03:20:00","03:20:00","23173","4","","0","0","22493.8119844077"
"1143.UW.11-SKY-mjp-1.1.H","03:22:00","03:22:00","48578","1","","0","0",""
"1143.UW.11-SKY-mjp-1.1.H","03:25:00","03:25:00","45513","2","","0","0","0"
"1143.UW.11-SKY-mjp-1.1.H","03:30:00","03:30:00","45511","3","","0","0","330.382187117239"
"1143.UW.11-SKY-mjp-1.1.H","03:50:00","03:50:00","23173","4","","0","0","22493.8119844077"
"1144.UW.11-SKY-mjp-1.1.H","03:52:00","03:52:00","48578","1","","0","0",""
"1144.UW.11-SKY-mjp-1.1.H","03:55:00","03:55:00","45513","2","","0","0","0"
"1144.UW.11-SKY-mjp-1.1.H","04:00:00","04:00:00","45511","3","","0","0","330.382187117239"
"1144.UW.11-SKY-mjp-1.1.H","04:20:00","04:20:00","23173","4","","0","0","22493.8119844077"
